idSite;NomSite;"Typologie MTK"
333;GARAGES STENDHAL;BP
34;GEX;PDC
68;GEX BP;BP
67;GEX PDC;BP
249;GIERES MEZZO;BP
520;GIEZ ILOT;BP
390;GILLY SUR ISERE;BP
266;GONCELIN;BP
484;GRAND BORNAND;BP
330;GRAND VOIRON PPDC;PIFC
172;GRANE BPX;BP
283;GRENOBLE ALBERT 1ER;BP
244;GRENOBLE ALPES CONGRES;PDC
212;GRENOBLE ALSACE LORRAINE;BP
210;GRENOBLE BAJATIERE;BP
348;GRENOBLE BERRIAT;PDC
314;GRENOBLE DEPORTES;BP
355;GRENOBLE EAUX CLAIRES;BP
335;GRENOBLE EUROPOLE;BP
350;GRENOBLE FOCH DEBUSSY;BP
351;GRENOBLE HP;BP
349;GRENOBLE ILE VERTE;BP
219;GRENOBLE JEAN PERROT;BP
352;GRENOBLE LIONEL TERRAY;BP
319;GRENOBLE OHM;PDC
270;GRENOBLE PPDC MF;PDC
282;GRENOBLE REFLETS DU VERCORS;BP
356;GRENOBLE REPUBLIQUE;PDC
217;GRENOBLE STALINGRAD;PDC
364;GRESY SUR AIX PDC;PI
143;GRIGNAN CC;BP
428;GROISY 'LE LACHAT'- VILLE DE GROISY;BP
438;GRUFFY CLOS GUEVIN;BP
87;GUILHERAND GRANGES GAB;BP
103;GUILHERAND-GRANGES;BP
391;HAUTELUCE;BP
154;HAUTERIVES BP;BP
142;HAUTERIVES CDIS;BP
35;HAUTEVILLE-LOMPNES;BP
372;HERMILLON;BP
268;HEYRIEUX;BP
150;HOSTUN BP;BP
36;IZERNORE;BP
37;JASSANS RIOTTIER;BP
94;JAUJAC BP;BP
104;JOYEUSE;BP
465;LA BALME DE SILLINGY;BP
375;LA BATHIE;PDC
382;LA BRIDOIRE;BP
384;LA CHAMBRE;BP
226;LA COTE ST ANDRE CC;BP
280;LA MOTTE D AVEILLANS;BP
395;LA MOTTE SERVOLEX;PDC
281;LA MURE;BP
229;LA MURE CC;BP
398;LA RAVOIRE;PDC
460;LA ROCHE SUR FORON;PDC
451;LA ROCHE SUR FORON CC;BP
399;LA ROCHETTE;PDC
